Year,highIncomeCountries,lowIncomeCountries,middleIncomeCountries
1960,7.51566938504867,0.192492812143948,1.1168298171653
1961,7.56715024523687,0.181730074789388,0.960148641119064
1962,7.81770122537272,0.190799963353858,0.900694566874514
1963,8.15271761957474,0.182208020475295,0.908104756544812
1964,8.46323687689195,0.203624170726926,0.931153565523297
1965,8.73367849075339,0.207970918801988,0.987110159443742
1966,9.0177768690384,0.220154024533433,1.04091164656301
1967,9.32530206331789,0.216226897335752,1.00100556955373
1968,9.7342745342575,0.340978724604457,1.06415919048214
1969,10.2480703427285,0.298685139967116,1.15839531798221
1970,11.0332826171554,0.266287305857603,1.30154490409249
1971,11.1376822928511,0.295207994965075,1.38642357842588
1972,11.5796641333809,0.26536781908447,1.43134684310785
1973,12.0755353709677,0.285546643955968,1.49871902668431
1974,11.6732437380764,0.286207505256276,1.51852654562037
1975,11.1911792900444,0.289725421992071,1.60014759772543
1976,11.7062134884228,0.30112907537223,1.664787660475
1977,11.8558002431949,0.306440517294523,1.74228452445492
1978,12.0640594939556,0.310129856121708,1.84661881815471
1979,12.2844981915324,0.374715913127494,1.88641660396015
1980,11.9290487610542,0.356464746391139,1.86100802870348
1981,11.3534688775362,0.387940056391088,1.83383659804774
1982,10.8442133490536,0.364343804006863,1.90639433288072
1983,10.7405667682657,0.393154962262521,1.93660838264699
1984,10.9554774237214,0.422675873418545,1.99340345198454
1985,11.0046801820961,0.404218561703322,2.07778043164218
1986,10.9663984368889,0.400447212191285,2.12871189487158
1987,11.1906709981457,0.431781716402452,2.20027666438901
1988,11.5191829844244,0.432267119705379,2.28153988426504
1989,11.7302979886248,0.410450836821848,2.30500195967609
1990,11.4025657851144,0.403865944246558,2.25934941459409
1991,11.4496501496397,0.414956643657622,2.30937794826869
1992,11.5093286316878,0.40343186004048,2.35507171041718
1993,11.5859005203165,0.39140941903505,2.33153514225404
1994,11.65241225348,0.366116743243208,2.27781188627294
1995,11.6325420373092,0.355171107046266,2.3267947264439
1996,11.8702464869223,0.359479424772673,2.35629253707874
1997,11.8807137532806,0.351557563768057,2.31852813468189
1998,11.804735287577,0.374582290751765,2.25882729928279
1999,11.8990242712809,0.391253299375388,2.26833621444917
2000,12.2145769481532,0.390480374229643,2.29646366479933
2001,12.1008274777895,0.389194716332124,2.31553525597377
2002,12.0965497870332,0.350072964937829,2.38419605996718
2003,12.1971769989236,0.386933204859439,2.57495534230196
2004,12.3195517698433,0.38077297343849,2.74812150055967
2005,12.2489540788657,0.382203045696779,2.89697687526706
2006,12.1762851978975,0.389444126968448,3.05209515362643
2007,12.1480107268872,0.386423174510624,3.16733785487947
2008,11.8978479601677,0.402329478516619,3.32924186226645
2009,11.1905065263732,0.392884366962159,3.36941129489563
2010,11.5052887456202,0.383361368654197,3.54539976752558
2011,11.2555457725701,0.342947302172,3.78909343097776
2012,11.0796956766757,0.319280066864853,3.88591814093742
2013,10.9988656373776,0.302395889606244,3.86283825495166
2014,10.925831512793,0.307958345273978,3.86673189186276
